Date,STOXX_600_Global,Banks,Basic_Resources,Chemicals,Construction_Materials,Financial_Services,Food_Beverage,Health_Care,Industrial_Goods,Insurance,Media,Oil_Gas_Energy,Personal_Household,Real_Estate,Retail,Technology,Telecom,Travel_Leisure,Utilities,Automobiles_Parts
2008-01-02,24.641828536987305,24.84126853942871,42.85232925415039,20.864805221557617,29.247716903686523,29.11067008972168,22.436939239501953,30.4346923828125,26.477746963500977,15.130757331848145,13.426836013793945,25.280595779418945,22.819082260131836,12.95074462890625,25.86791229248047,25.547279357910156,12.692159652709961,39.245933532714844,32.28789138793945,
2008-01-03,24.567306518554688,24.72393035888672,43.47483444213867,20.69690704345703,28.819067001342773,28.719396591186523,21.878398895263672,30.249345779418945,26.069551467895508,15.076458930969238,13.270986557006836,25.75844383239746,22.226093292236328,12.92105770111084,25.78176498413086,25.47846794128418,12.403199195861816,39.497074127197266,32.82856750488281,
2008-01-04,24.093036651611328,24.23695945739746,42.20494842529297,20.612964630126953,28.04596519470215,27.844383239746094,20.647064208984375,29.940452575683594,25.245311737060547,14.7929048538208,13.025232315063477,25.377300262451172,21.561668395996094,12.579663276672363,25.398025512695312,24.583885192871094,12.040143013000488,39.44381332397461,32.669891357421875,
2008-01-07,24.045608520507812,24.10788345336914,40.735862731933594,21.055110931396484,27.311141967773438,27.211219787597656,20.52012062072754,30.50418472290039,24.656570434570312,14.684314727783203,12.929328918457031,25.73569107055664,21.16873550415039,12.267951011657715,25.750442504882812,23.76671600341797,11.810453414916992,39.67972183227539,33.222328186035156,
2008-01-08,24.187881469726562,24.031618118286133,41.47040939331055,21.396507263183594,27.594364166259766,27.666521072387695,20.570894241333008,31.562185287475586,25.025508880615234,14.64812183380127,12.983269691467285,25.610549926757812,21.225887298583984,12.253108024597168,25.985395431518555,24.050579071044922,11.74377155303955,39.97651672363281,33.0518913269043,
2008-01-09,23.87622833251953,23.71478843688965,40.23164749145508,21.262187957763672,27.020265579223633,27.20411491394043,20.113903045654297,32.14910888671875,24.3347110748291,14.569684028625488,12.695551872253418,25.212337493896484,20.03278160095215,12.060147285461426,25.6173038482666,23.285024642944336,11.254755973815918,40.121131896972656,33.16354751586914,
2008-01-10,23.645862579345703,23.485977172851562,39.6900749206543,21.239797592163086,26.84421730041504,26.812837600708008,20.253543853759766,32.08732223510742,23.86372947692871,14.509357452392578,12.58765697479248,24.73448371887207,19.88273811340332,11.926558494567871,25.13174819946289,23.34522819519043,11.091752052307129,38.850215911865234,33.122413635253906,
2008-01-11,23.530681610107422,23.667856216430664,40.200531005859375,20.94876480102539,27.05089569091797,26.926668167114258,20.513774871826172,31.724367141723633,23.981475830078125,14.63001537322998,12.527717590332031,24.381778717041016,20.13280487060547,11.896870613098145,24.17629051208496,23.328027725219727,11.225117683410645,38.72084426879883,32.234989166259766,
2008-01-14,23.605215072631836,23.726520538330078,40.75454330444336,20.69131851196289,27.640274047851562,27.49578857421875,20.843822479248047,31.469518661499023,24.31117057800293,14.85323715209961,12.533714294433594,24.336271286010742,20.104228973388672,12.364434242248535,24.21544075012207,23.809720993041992,11.343669891357422,39.02525329589844,31.85886573791504,
2008-01-15,23.008981704711914,22.916866302490234,39.515785217285156,20.489831924438477,26.737062454223633,26.49982452392578,20.06947898864746,30.712697982788086,23.596832275390625,14.557616233825684,12.257981300354004,23.687753677368164,19.41836166381836,11.993349075317383,23.58108139038086,23.422643661499023,11.017659187316895,38.3631591796875,31.570899963378906,
2008-01-16,22.79216957092285,22.617643356323242,37.866172790527344,20.450651168823242,26.645204544067383,26.20102882385254,20.075828552246094,30.836265563964844,23.25143814086914,14.491256713867188,12.144094467163086,23.215599060058594,19.689842224121094,12.253108024597168,23.69855499267578,23.2506046295166,11.069522857666016,37.244468688964844,31.241792678833008,
2008-01-17,22.683765411376953,22.506174087524414,36.88886260986328,20.489831924438477,26.31606674194336,26.265043258666992,19.631532669067383,30.55825424194336,23.18863868713379,14.322338104248047,12.162075996398926,22.970979690551758,19.975627899169922,12.401540756225586,23.729883193969727,23.310819625854492,11.158432006835938,36.58998107910156,31.31820297241211,
2008-01-18,22.439857482910156,21.942930221557617,37.498897552490234,20.389089584350586,26.31606674194336,26.0516357421875,19.269746780395508,30.53508758544922,23.06303596496582,13.713000297546387,12.060174942016602,22.81169891357422,20.054216384887695,12.275374412536621,23.675058364868164,22.975345611572266,11.017659187316895,36.110538482666016,31.253551483154297,
2008-01-21,21.17287826538086,20.458555221557617,34.461143493652344,19.426437377929688,24.968873977661133,24.842247009277344,18.660425186157227,29.322633743286133,21.830602645874023,12.729622840881348,11.520706176757812,21.49761199951172,19.25404167175293,11.971087455749512,22.633453369140625,21.53025245666504,10.506412506103516,33.58393859863281,29.055572509765625,
2008-01-22,21.633590698242188,21.42662239074707,35.81817626953125,19.42084503173828,25.971616744995117,25.77419090270996,18.81275177001953,29.384410858154297,22.65484046936035,13.157965660095215,11.802424430847168,21.7023983001709,20.082794189453125,12.594500541687012,23.00153160095215,21.88292121887207,10.980612754821777,34.13948440551758,28.34446907043457,
2008-01-23,20.9831600189209,20.951387405395508,35.2268180847168,18.570133209228516,25.42814064025879,25.16949462890625,18.13361930847168,28.751171112060547,21.987598419189453,12.832192420959473,11.49672794342041,20.68412208557129,19.525527954101562,12.50544548034668,22.555139541625977,21.21198081970215,11.032472610473633,32.76203918457031,26.97513771057129,
